"General location","GPS waypoint","Lat","Long","Photo","CO2 (wt.%)","Entrance size (m2)","emission speed (m/s)","Entrance size (m3)","emission speed (m/s)","Entrance size (m3)","emission speed (m/s)","Entrance size (m3)","emission speed (m/s)",,,"Notes",,,,,,,"Entrance 1",,"Entrance 2",,"Entrance 3",,"Entrance 4",
"Hut fumaroles",198,77.51069,167.14883,"BB- time 11:16",0.08,1.81,0.40,1,0.4,,,,,,,"Calibration cave, emission rate of second entrance estimated",,,,,,,"x (inches)","y (inches)","x(inches)","Y (inches)","x(inches)","Y (inches)","x(inches)","Y (inches)"
"Hut fumaroles",199,77.51060,167.14768,"BB- time 12:00",0.14,3,1.65,4,0.8,1,0.8,3,0.8,,,"Ladder cave, CO2 measured inside cave",,,,,,,,,,,,,,
"Hut fumaroles",,,,"BB",0.15,1.29,0.60,,,,,,,,,"nr Ladder Cave, to the east",,,,,,,,,,,,,,
"Hut fumaroles",201,77.51124,167.14527,"BB",0.10,0.81,0.34,4.7,0.35,1,0.34,,,,,"Large cave W of main body of towers",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Fang Fumaroles",204,77.51691,167.22302,"RE WPT 204",0.72,1.26,0.80,,,,,,,,,,,,,,,,,,,,,,,
"Upper Fang Fumaroles",205,77.51689,167.22263,"RE WPT 205",1.15,0.71,0.50,0.22,0.5,0.73,0.5,,,,,,,,,,,,,,,,,,,
"Upper Fang Fumaroles",206,77.51680,167.22210,"RE WPT 206",0.40,0.39,1.20,,,,,,,,,,,,,,,,24,32,,,,,,
"Upper Fang Fumaroles",207,77.51660,167.22202,"RE WPT 207",0.64,0.10,0.25,,,,,,,,,,,,,,,,16,12,,,,,,
"Upper Fang Fumaroles",208,77.51649,167.22201,"RE WPT 208",0.60,0.36,1.40,,,,,,,,,,,,,,,,32,22,,,,,,
"Upper Fang Fumaroles",209,77.51643,167.22110,"RE WPT 209",0.60,0.09,0.80,0.06,0.65,,,,,,,,,,,,,,14,12,8,16,,,,
"Upper Fang Fumaroles",210,77.51621,167.22022,"RE WPT 210",1.07,0.18,0.25,,,,,,,,,,,,,,,,16,22,,,,,,
"Upper Fang Fumaroles",211,77.51634,167.22015,"RE WPT 211",1.40,0.26,0.20,,,,,,,,,,,,,,,,64,8,,,,,,
"Upper Fang Fumaroles",212,77.51621,167.21998,"RE WPT 212",0.60,0.10,0.15,0.29,0.15,0.02,0.15,,,,,,,,,,,,16,12,,,,,,
"Upper Fang Fumaroles",213,77.51601,167.21908,"RE WPT 213",0.55,1.17,0.40,,,,,,,,,,,,,,,,96,24,,,,,,
"Upper Fang Fumaroles",214,77.51599,167.21656,"RE WPT 214",0.7,1.22,0.9,0.20,,,,,,,,,,,,,,,56,43,20,20,,,,
"Upper Fang Fumaroles",215,77.51594,167.21652,"RE WPT 215",0.03,1.17,0.00,,,,,,,,,,,,,,,,96,24,,,,,,
"Upper Fang Fumaroles",216,77.51598,167.21626,"RE WPT 216",0.8,1.17,0.90,1.02,0.28,,,,,,,,,,,,,,72,32,36,56,,,,
"Upper Fang Fumaroles",217,77.51587,167.21662,"NWD WPT 217",0.87,0.24,1.11,0.88,1.30,,,,,,,,,,,,,,48,10,72,24,,,,
"Upper Fang Fumaroles",218,77.51648,167.21596,"NWD WPT 218",0.03,0.20,0.30,,,,,,,,,"Tower appears dead",,,,,,,20,20,,,,,,
"Upper Fang Fumaroles",219,77.51640,167.21558,"NWD WPT 219",0.70,0.57,0.67,,,,,,,,,,,,,,,,70,16,,,,,,
"Upper Fang Fumaroles",220,77.51656,167.21755,"NWD WPT 220",0.75,0.56,2.03,0.44,2.03,,,,,,,,,,,,,,55,20,36,24,,,,
